agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,random,10.0,44.01652563,1.0,10.0,1.0,0.0035085827029978085,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,43.61686664,1.0,10.0,1.0,0.003759623002618401,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,37.854363940000006,1.0,10.0,1.0,0.0024904134216473784,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,32.03289091,1.0,10.0,1.0,0.0022566934620509996,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,54.30891974,1.0,10.0,1.0,0.00212447817173476,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,39.847088490000004,1.0,10.0,1.0,0.002590189401234378,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,45.62146898,1.0,10.0,1.0,0.003243870206445343,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,44.17861095,1.0,10.0,1.0,0.0027583528501969397,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,33.35073357,1.0,10.0,1.0,0.0027189658053896645,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,random,10.0,56.17201549000001,1.0,10.0,1.0,0.0032196253062969056,1520.0,1.0,3.0,10.0,1.0,5.0,10.0
