agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,5.0,34.65685597000001,1.0,10.0,1.0,-1.2082522868669092,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,29.877733690000003,1.0,10.0,1.0,-1.2639675574216127,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,29.29712316,1.0,10.0,1.0,-1.3483224614937648,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,25.561019370000007,1.0,10.0,1.0,-1.3538647523883618,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,29.174387769999996,1.0,10.0,1.0,-1.3266760935195618,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,36.52941486,1.0,10.0,1.0,-1.319453794303115,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,31.950670579999997,1.0,10.0,1.0,-1.3210810838056484,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,39.79511747000001,1.0,10.0,1.0,-1.3058073054667976,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,33.50535223,1.0,10.0,1.0,-1.4117729632798017,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,32.015091940000005,1.0,10.0,1.0,-1.350732178846995,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
