agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,spurious,5.0,40.82979656,1.0,10.0,1.0,-4.8861041284353295,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,42.649263310000016,1.0,10.0,1.0,-4.791024190576088,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,40.34100034,1.0,10.0,1.0,-4.3944395275267985,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,35.088862479999996,1.0,10.0,1.0,-3.852868880439437,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,51.312037659999994,1.0,10.0,1.0,-4.72933596373372,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,29.625371819999994,1.0,10.0,1.0,-4.478418525991415,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,41.625935,1.0,10.0,1.0,-4.284572060436312,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,36.750506869999995,1.0,10.0,1.0,-4.173548289240009,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,46.13367690999999,1.0,10.0,1.0,-3.968930940371872,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,spurious,5.0,40.527753589999996,1.0,10.0,1.0,-4.710639067171048,1550.0,1.0,3.0,10.0,1.0,5.0,10.0
