agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,5.0,24.238678860000004,1.0,15.0,1.0,0.002441613184302255,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,18.941282549999997,1.0,15.0,1.0,0.0027152271300337908,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,3.3865235900000012,1.0,15.0,1.0,0.002617152153509622,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,11.70950922,1.0,15.0,1.0,0.002519559396684847,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,13.89445899,1.0,15.0,1.0,0.0026071697623760563,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,15.74542819,1.0,15.0,1.0,0.0023239570900308666,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,18.63267289,1.0,15.0,1.0,0.0029678255839442665,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,16.36340579,1.0,15.0,1.0,0.002351187443205466,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,5.67151474,1.0,15.0,1.0,0.0022077183668981447,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
ppo,expert,5.0,14.64781437,1.0,15.0,1.0,0.0029750571369682676,2090.0,1.0,3.0,10.0,1.0,5.0,10.0
