agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,expert,10.0,16.644588940000002,1.0,10.0,1.0,0.041598244150479635,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,14.500234329999998,1.0,10.0,1.0,0.04527240632308854,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,24.484336910000007,1.0,10.0,1.0,0.04160676273161715,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,26.70970225,1.0,10.0,1.0,0.04518172822155134,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,23.032682389999994,1.0,10.0,1.0,0.046577839346245084,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,19.303118299999998,1.0,10.0,1.0,0.04835945445660389,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,17.73972631,1.0,10.0,1.0,0.045529222150643665,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,26.40997997,1.0,10.0,1.0,0.04389940850421636,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,14.72509756,1.0,10.0,1.0,0.0553691960049398,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,expert,10.0,15.801834889999999,1.0,10.0,1.0,0.04476021600612486,2110.0,1.0,3.0,10.0,5.0,10.0
