agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,random,10.0,35.01726779,1.0,10.0,1.0,0.33127812776421056,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,58.406165550000004,1.0,10.0,1.0,0.33373282491799555,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,43.487454910000004,1.0,10.0,1.0,0.3481655046241452,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,42.52291711000001,1.0,10.0,1.0,0.3268353923884305,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,66.24790405,1.0,10.0,1.0,0.31062702778613926,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,41.96326798999999,1.0,10.0,1.0,0.3218976084897012,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,65.20535382,1.0,10.0,1.0,0.323942165492761,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,55.582468930000005,1.0,10.0,1.0,0.2992043891386552,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,62.16318638,1.0,10.0,1.0,0.31259011492584693,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,random,10.0,35.5487419,1.0,10.0,1.0,0.32740670564921215,2110.0,1.0,3.0,10.0,5.0,10.0
