agent,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,spurious,10.0,44.167428439999995,1.0,10.0,1.0,0.29261184170511034,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,39.64174874999999,1.0,10.0,1.0,0.28080546961167846,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,49.46619519,1.0,10.0,1.0,0.35518583515918617,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,47.95572310000001,1.0,10.0,1.0,0.29954419701027146,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,38.170718439999995,1.0,10.0,1.0,0.32315217039079375,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,38.98530862999999,1.0,10.0,1.0,0.3152096960857661,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,31.75746343999999,1.0,10.0,1.0,0.32528307995651706,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,39.62514117999999,1.0,10.0,1.0,0.3090721714520695,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,45.649978530000006,1.0,10.0,1.0,0.3155763401286771,2110.0,1.0,3.0,10.0,5.0,10.0
ppo,spurious,10.0,43.64252706000001,1.0,10.0,1.0,0.3134629706397201,2110.0,1.0,3.0,10.0,5.0,10.0
