agent,mdrnn_loss,mdrnn_params,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,vae_loss,vae_params,wm_agent_reward,wm_epochs,wm_gaussians,wm_hidden,wm_layers,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,1.1229231610017665,1654.0,spurious,5.0,37.42444997999999,1.0,10.0,1.0,0.004201300736639009,1150.0,9.593999256896973,610.0,35.192272530000004,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1028509967467364,1654.0,spurious,5.0,41.630567199999994,1.0,10.0,1.0,0.0025052583765501927,1150.0,9.408439447784424,610.0,41.306723899999994,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.0947926801793715,1654.0,spurious,5.0,32.37004248,1.0,10.0,1.0,0.0023881389638173837,1150.0,12.713110739135741,610.0,28.300405499999997,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.160678914014031,1654.0,spurious,5.0,43.34980041,1.0,10.0,1.0,0.0022885284249181625,1150.0,11.228940335845948,610.0,39.555627369999996,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1471253647523767,1654.0,spurious,5.0,47.953954200000005,1.0,10.0,1.0,0.0022934359541031146,1150.0,12.554815829467774,610.0,42.150684919999996,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.142342160729801,1654.0,spurious,5.0,53.033810459999984,1.0,10.0,1.0,0.002039584777374385,1150.0,12.640804835510254,610.0,32.33444222999999,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.2051266305586872,1654.0,spurious,5.0,30.36613627,1.0,10.0,1.0,0.00399630747466922,1150.0,12.087193991088867,610.0,31.115158890000004,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.154292984569774,1654.0,spurious,5.0,33.87992214,1.0,10.0,1.0,0.002323973606302958,1150.0,9.975597430419922,610.0,32.782724900000005,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.1239899551167207,1654.0,spurious,5.0,46.70472076,1.0,10.0,1.0,0.002059265769368997,1150.0,12.76503321685791,610.0,36.26760198,1.0,3.0,10.0,1.0,5.0,10.0
ppo,1.123437225117403,1654.0,spurious,5.0,36.15501179,1.0,10.0,1.0,0.001988241487850595,1150.0,12.875768312072754,610.0,17.772880309999998,1.0,3.0,10.0,1.0,5.0,10.0
