agent,mdrnn_loss,mdrnn_params,setting,swm_agent_latent_dim,swm_agent_reward,swm_epochs,swm_hidden,swm_layers,swm_loss,swm_params,vae_loss,vae_params,wm_agent_reward,wm_epochs,wm_gaussians,wm_hidden,wm_spatial_latent_dim,wm_temporal_latent_dim
ppo,1.1839806407105689,1654.0,spurious,5.0,57.53087166,1.0,10.0,1.0,0.29479438761749654,1590.0,,780.0,33.373049890000004,1.0,3.0,10.0,5.0,10.0
ppo,1.2330621018129237,1654.0,spurious,5.0,34.62158976,1.0,10.0,1.0,0.29580275532693573,1590.0,,780.0,20.449765330000005,1.0,3.0,10.0,5.0,10.0
ppo,1.229338289709652,1654.0,spurious,5.0,48.64171944,1.0,10.0,1.0,0.3323219336066583,1590.0,,780.0,22.358218519999994,1.0,3.0,10.0,5.0,10.0
ppo,1.1397448128344967,1654.0,spurious,5.0,49.85608707,1.0,10.0,1.0,0.30467742080399485,1590.0,,780.0,32.491013169999995,1.0,3.0,10.0,5.0,10.0
ppo,1.1738849677291572,1654.0,spurious,5.0,53.374202159999996,1.0,10.0,1.0,0.32299162731507813,1590.0,,780.0,36.54578504,1.0,3.0,10.0,5.0,10.0
ppo,1.1735217215968112,1654.0,spurious,5.0,41.83716814,1.0,10.0,1.0,0.33018707103921907,1590.0,,780.0,33.44629811,1.0,3.0,10.0,5.0,10.0
ppo,1.1987424925261854,1654.0,spurious,5.0,45.54645517000001,1.0,10.0,1.0,0.33855647694462476,1590.0,,780.0,25.48202745,1.0,3.0,10.0,5.0,10.0
ppo,1.1577064934898824,1654.0,spurious,5.0,40.75704001,1.0,10.0,1.0,0.34505929012491243,1590.0,,780.0,32.46427708,1.0,3.0,10.0,5.0,10.0
ppo,1.1732348124186198,1654.0,spurious,5.0,24.09514326,1.0,10.0,1.0,0.30418977415922915,1590.0,,780.0,44.27379432000001,1.0,3.0,10.0,5.0,10.0
ppo,1.169463773802215,1654.0,spurious,5.0,55.01667251999999,1.0,10.0,1.0,0.33505088386631976,1590.0,,780.0,28.74706544,1.0,3.0,10.0,5.0,10.0
